topic_id,rawg_tags,full_game_tags
Dicey_Dungeons,singleplayer,apple arcade|available on - apple arcade|card & board game|comedy|dice|indie|roguelike deckbuilder
Metal_Slug,2d|achievements|cartoony|classic|cloud saves|co-op|controller support|fast-paced|full controller support|funny|great soundtrack|leaderboards|local co-op|local multiplayer|multiplayer|overlay|pixel graphics|retro|shoot em up|side scroller|singleplayer|steam achievements|steam leaderboards|steam-trading-cards,action|arcade|available on - luna plus|backwards compatibility|comedy|digital distribution|platform|playstation network|playstation tv support|psone classics|shooter|wii virtual console
Call_of_Duty,america|atmospheric|classic|first-person|fps|historical|linear|military|multiplayer|singleplayer|story rich|war|world war ii,achievements|action|action-adventure|anti-cheat system|artificial intelligence|bafta games award|battleship|bloody|bomb defusal mode|british accent|building|camping|capture the flag|checkpoints|chessboard|communism|corpse|corrupt government|cow|death|death match|dedicated servers|difficulty achievement|difficulty level|digital distribution|dolphin diving|explosion|fact-based shooter|famous quotes|fascism|free to play|friendly fire|game developers choice awards 2004|guerilla warfare|historical|human|instant kill|interactive achievement awards 2004|killcam|linear gameplay|male protagonist|melee|mercenary|military|modern military|modern warfare|motorcycle|multiple protagonists|nazis|non-player character|online|pc to console port|platoon|playstation trophies|political thriller|polygonal 3d|professional gaming|real-time combat|realism|recurring character|scripted events|shooter|silent protagonist|sniping|snow|soldier|spike video game awards 2003|squad|steam|strafe-jumping|suicide|tank|team deathmatch|throwing weapons|tiger i|trophy system|twin stick control|united states army|vaporware|villain|voice acting|voice chat|war|warfare|wasd movement|world war ii - ww2|xbox live
Good_Job!,local multiplayer|multiplayer,mystery|puzzle|visual novel
Jump_King,2d|full controller support|horror|singleplayer,2d|action|adventure|atmospheric|bird|castle|clowns|crow|dark humor|difficult|fantasy|funny|girls|great soundtrack|horror|indie|king|level selection|medieval|philosophical|pixel graphics|platform|precision platforming|psychological horror|retro|snow|soulslike|vertical platforming|women
Coffee_Caravan,3d|base building|building|character customization|controller|cooking|cozy|cute|economy|family friendly|family sharing|full controller support|management|minimalist|roguelike|roguelite|singleplayer|steam achievements|steam cloud|time management|кулинария,action|base building|business|coffee|food truck|indie|management|procedurally generated|restaurant|roguelite|strategy|time management
Banshee's_Last_Cry,singleplayer,drama|visual novel
The_Ghost_Train,horror,action|adventure|casual|detective|hidden object|horror|indie|simulator|surreal|survival|thriller
Palia,action rpg|action-adventure|character customization|co-op|crafting|cross-platform multiplayer|cute|exploration|fantasy|farming sim|immersive sim|in-app purchases|magic|multiplayer|mystery|nature|online co-op|open world|partial controller support|relaxing|rpg|singleplayer,adventure|cozy|crafting|exploration|fantasy|farming simulator|free to play|life simulation|nature|rpg|simulator
Squirreled_Away,base building|building|cartoony|co-op|crafting|cute|exploration|family friendly|family sharing|funny|inventory management|multiplayer|nature|online co-op|open world|partial controller support|relaxing|resource management|singleplayer|steam achievements|steam cloud|stylized|third person,puzzle
Old_Coin_Pusher_Friends,3d|co-op|collectathon|controller|full controller support|multiplayer|ninja|online co-op|physics|pve|realistic|remote play on phone|remote play on tablet|singleplayer|third person shooter,3d|arcade|casual|indie|ninja|party|physics|pve|realism|shooter|simulator
